start
vertice: 5989: pai:2 nivel:1
vertice: 3335: pai:2 nivel:1
vertice: 5991: pai:2 nivel:1
vertice: 5993: pai:2 nivel:1
vertice: 5995: pai:2 nivel:1
vertice: 5999: pai:2 nivel:1
vertice: 5997: pai:2 nivel:1
vertice: 5988: pai:2 nivel:1
vertice: 14749: pai:2 nivel:1
vertice: 14754: pai:2 nivel:1
vertice: 14737: pai:2 nivel:1
vertice: 5979: pai:2 nivel:1
vertice: 14260: pai:2 nivel:1
vertice: 6008: pai:2 nivel:1
vertice: 6013: pai:2 nivel:1
vertice: 6007: pai:2 nivel:1
vertice: 14780: pai:2 nivel:1
vertice: 14789: pai:2 nivel:1
vertice: 6014: pai:2 nivel:1
vertice: 4729: pai:2 nivel:1
vertice: 14818: pai:2 nivel:1
vertice: 14809: pai:2 nivel:1
vertice: 14796: pai:2 nivel:1
vertice: 14792: pai:2 nivel:1
vertice: 14820: pai:2 nivel:1
vertice: 3342: pai:2 nivel:1
vertice: 3343: pai:2 nivel:1
vertice: 14829: pai:2 nivel:1
vertice: 6027: pai:2 nivel:1
vertice: 3346: pai:2 nivel:1
vertice: 1743: pai:2 nivel:1
vertice: 3339: pai:2 nivel:1
vertice: 14784: pai:2 nivel:1
vertice: 11839: pai:2 nivel:1
vertice: 14758: pai:2 nivel:1
vertice: 5806: pai:2 nivel:1
vertice: 6029: pai:2 nivel:1
vertice: 14846: pai:2 nivel:1
vertice: 309: pai:2 nivel:1
vertice: 637: pai:2 nivel:1
vertice: 2284: pai:2 nivel:1
vertice: 6047: pai:2 nivel:1
vertice: 502: pai:2 nivel:1
vertice: 6061: pai:2 nivel:1
vertice: 14893: pai:2 nivel:1
vertice: 6032: pai:2 nivel:1
vertice: 14841: pai:2 nivel:1
vertice: 14917: pai:2 nivel:1
vertice: 6070: pai:2 nivel:1
vertice: 6068: pai:2 nivel:1
vertice: 14916: pai:2 nivel:1
vertice: 6082: pai:2 nivel:1
vertice: 3357: pai:2 nivel:1
vertice: 6074: pai:2 nivel:1
vertice: 11845: pai:2 nivel:1
vertice: 6079: pai:2 nivel:1
vertice: 1747: pai:2 nivel:1
vertice: 14966: pai:2 nivel:1
vertice: 14907: pai:2 nivel:1
vertice: 14994: pai:2 nivel:1
vertice: 15005: pai:2 nivel:1
vertice: 6105: pai:2 nivel:1
vertice: 11852: pai:2 nivel:1
vertice: 6111: pai:2 nivel:1
vertice: 6110: pai:2 nivel:1
vertice: 15023: pai:2 nivel:1
vertice: 6115: pai:2 nivel:1
vertice: 15014: pai:2 nivel:1
vertice: 15027: pai:2 nivel:1
vertice: 15031: pai:2 nivel:1
vertice: 1746: pai:2 nivel:1
vertice: 3368: pai:2 nivel:1
vertice: 15041: pai:2 nivel:1
vertice: 15057: pai:2 nivel:1
vertice: 15006: pai:2 nivel:1
vertice: 15066: pai:2 nivel:1
vertice: 6126: pai:2 nivel:1
vertice: 6123: pai:2 nivel:1
vertice: 15073: pai:2 nivel:1
vertice: 3369: pai:2 nivel:1
vertice: 15065: pai:2 nivel:1
vertice: 14981: pai:2 nivel:1
vertice: 14838: pai:2 nivel:1
vertice: 6136: pai:2 nivel:1
vertice: 15084: pai:2 nivel:1
vertice: 6148: pai:2 nivel:1
vertice: 6142: pai:2 nivel:1
vertice: 15111: pai:2 nivel:1
vertice: 11857: pai:2 nivel:1
vertice: 3377: pai:2 nivel:1
vertice: 15132: pai:2 nivel:1
vertice: 11671: pai:2 nivel:1
vertice: 6147: pai:2 nivel:1
vertice: 15146: pai:2 nivel:1
vertice: 6152: pai:2 nivel:1
vertice: 6151: pai:2 nivel:1
vertice: 1185: pai:2 nivel:1
vertice: 15173: pai:2 nivel:1
vertice: 15168: pai:2 nivel:1
vertice: 15184: pai:2 nivel:1
vertice: 6176: pai:2 nivel:1
vertice: 15194: pai:2 nivel:1
vertice: 15155: pai:2 nivel:1
vertice: 15202: pai:2 nivel:1
vertice: 6180: pai:2 nivel:1
vertice: 531: pai:2 nivel:1
vertice: 6182: pai:2 nivel:1
vertice: 6190: pai:2 nivel:1
vertice: 15222: pai:2 nivel:1
vertice: 3387: pai:2 nivel:1
vertice: 3398: pai:2 nivel:1
vertice: 15252: pai:2 nivel:1
vertice: 15259: pai:2 nivel:1
vertice: 15258: pai:2 nivel:1
vertice: 15250: pai:2 nivel:1
vertice: 15154: pai:2 nivel:1
vertice: 15144: pai:2 nivel:1
vertice: 15268: pai:2 nivel:1
